loop,addresses_generated,predictions_submitted,correct_predictions,incorrect_predictions,missing_predictions,extra_predictions,accuracy,coverage,cache_hits,cache_misses,predictor_runtime,simulation_runtime,workload_runtime,memory_bytes,energy
99,1024,1024,286,738,0,0,27.929688,100.000000,164,860,0.011884,0.000151,0.004797,8192,4566.400000
100,1024,1024,294,730,0,0,28.710938,100.000000,158,866,0.012277,0.000132,0.004797,8192,4590.400000
101,1024,1024,283,741,0,0,27.636719,100.000000,143,881,0.011653,0.000159,0.005315,8192,4650.400000
102,1024,1024,279,745,0,0,27.246094,100.000000,172,852,0.010488,0.000134,0.006316,8192,4534.400000
103,1024,1024,285,739,0,0,27.832031,100.000000,142,882,0.013055,0.000295,0.005865,8192,4654.400000
104,1024,1024,295,729,0,0,28.808594,100.000000,148,876,0.012227,0.000216,0.004978,8192,4630.400000
105,1024,1024,283,741,0,0,27.636719,100.000000,157,867,0.012526,0.000284,0.004943,8192,4594.400000
106,1024,1024,287,737,0,0,28.027344,100.000000,151,873,0.013679,0.000233,0.005253,8192,4618.400000
107,1024,1024,286,738,0,0,27.929688,100.000000,156,868,0.013283,0.000244,0.005805,8192,4598.400000
108,1024,1024,286,738,0,0,27.929688,100.000000,162,862,0.012720,0.000146,0.005626,8192,4574.400000
109,1024,1024,291,733,0,0,28.417969,100.000000,149,875,0.012087,0.000138,0.005620,8192,4626.400000
110,1024,1024,285,739,0,0,27.832031,100.000000,149,875,0.011633,0.000153,0.005625,8192,4626.400000
111,1024,1024,294,730,0,0,28.710938,100.000000,153,871,0.012530,0.000146,0.005035,8192,4610.400000
112,1024,1024,286,738,0,0,27.929688,100.000000,170,854,0.012483,0.000125,0.005183,8192,4542.400000
113,1024,1024,291,733,0,0,28.417969,100.000000,149,875,0.012435,0.000277,0.005171,8192,4626.400000
114,1024,1024,288,736,0,0,28.125000,100.000000,134,890,0.011718,0.000125,0.005693,8192,4686.400000
115,1024,1024,277,747,0,0,27.050781,100.000000,142,882,0.012443,0.000124,0.005431,8192,4654.400000
116,1024,1024,280,744,0,0,27.343750,100.000000,155,869,0.011631,0.000291,0.004795,8192,4602.400000
117,1024,1024,288,736,0,0,28.125000,100.000000,158,866,0.011521,0.000285,0.005087,8192,4590.400000
118,1024,1024,284,740,0,0,27.734375,100.000000,154,870,0.012203,0.000127,0.014593,8192,4606.400000
119,1024,1024,294,730,0,0,28.710938,100.000000,156,868,0.014421,0.000306,0.005379,8192,4598.400000
120,1024,1024,284,740,0,0,27.734375,100.000000,150,874,0.011485,0.000178,0.005867,8192,4622.400000
121,1024,1024,291,733,0,0,28.417969,100.000000,148,876,0.013379,0.000154,0.005757,8192,4630.400000
122,1024,1024,280,744,0,0,27.343750,100.000000,153,871,0.010636,0.000126,0.005572,8192,4610.400000
123,1024,1024,286,738,0,0,27.929688,100.000000,154,870,0.011676,0.000277,0.005885,8192,4606.400000
124,1024,1024,284,740,0,0,27.734375,100.000000,150,874,0.011304,0.000119,0.004960,8192,4622.400000
125,1024,1024,284,740,0,0,27.734375,100.000000,148,876,0.013153,0.000128,0.006121,8192,4630.400000
126,1024,1024,288,736,0,0,28.125000,100.000000,141,883,0.011776,0.000216,0.005650,8192,4658.400000
127,1024,1024,291,733,0,0,28.417969,100.000000,158,866,0.013036,0.000137,0.005283,8192,4590.400000
128,1024,1024,289,735,0,0,28.222656,100.000000,155,869,0.011904,0.000121,0.005454,8192,4602.400000
129,1024,1024,283,741,0,0,27.636719,100.000000,137,887,0.012827,0.000150,0.006859,8192,4674.400000
130,1024,1024,288,736,0,0,28.125000,100.000000,154,870,0.013266,0.000132,0.004777,8192,4606.400000
131,1024,1024,280,744,0,0,27.343750,100.000000,150,874,0.012792,0.000129,0.004235,8192,4622.400000
132,1024,1024,283,741,0,0,27.636719,100.000000,163,861,0.013143,0.000121,0.003766,8192,4570.400000
133,1024,1024,280,744,0,0,27.343750,100.000000,137,887,0.012499,0.000131,0.004925,8192,4674.400000
134,1024,1024,285,739,0,0,27.832031,100.000000,143,881,0.012493,0.000119,0.005508,8192,4650.400000
135,1024,1024,289,735,0,0,28.222656,100.000000,148,876,0.012498,0.000284,0.004511,8192,4630.400000
136,1024,1024,284,740,0,0,27.734375,100.000000,163,861,0.013311,0.000155,0.005300,8192,4570.400000
137,1024,1024,291,733,0,0,28.417969,100.000000,153,871,0.013142,0.000156,0.005506,8192,4610.400000
138,1024,1024,289,735,0,0,28.222656,100.000000,146,878,0.013264,0.000154,0.004778,8192,4638.400000
139,1024,1024,287,737,0,0,28.027344,100.000000,155,869,0.013497,0.000176,0.006112,8192,4602.400000
140,1024,1024,290,734,0,0,28.320312,100.000000,146,878,0.010900,0.000145,0.005018,8192,4638.400000
141,1024,1024,290,734,0,0,28.320312,100.000000,161,863,0.014837,0.000154,0.005469,8192,4578.400000
142,1024,1024,289,735,0,0,28.222656,100.000000,157,867,0.014530,0.000368,0.008255,8192,4594.400000
143,1024,1024,293,731,0,0,28.613281,100.000000,155,869,0.013964,0.000473,0.004861,8192,4602.400000
144,1024,1024,285,739,0,0,27.832031,100.000000,154,870,0.015635,0.000189,0.006183,8192,4606.400000
145,1024,1024,284,740,0,0,27.734375,100.000000,161,863,0.012617,0.000153,0.006954,8192,4578.400000
146,1024,1024,292,732,0,0,28.515625,100.000000,130,894,0.013260,0.000137,0.006182,8192,4702.400000
147,1024,1024,288,736,0,0,28.125000,100.000000,172,852,0.012276,0.000139,0.006481,8192,4534.400000
148,1024,1024,287,737,0,0,28.027344,100.000000,166,858,0.011659,0.000143,0.004293,8192,4558.400000
149,1024,1024,291,733,0,0,28.417969,100.000000,140,884,0.012325,0.000126,0.005638,8192,4662.400000
150,1024,1024,288,736,0,0,28.125000,100.000000,156,868,0.010132,0.000180,0.005729,8192,4598.400000
151,1024,1024,287,737,0,0,28.027344,100.000000,155,869,0.011684,0.000119,0.005056,8192,4602.400000
152,1024,1024,284,740,0,0,27.734375,100.000000,147,877,0.012451,0.000126,0.005988,8192,4634.400000
153,1024,1024,291,733,0,0,28.417969,100.000000,146,878,0.011053,0.000122,0.005386,8192,4638.400000
154,1024,1024,292,732,0,0,28.515625,100.000000,161,863,0.011050,0.000121,0.004612,8192,4578.400000
155,1024,1024,288,736,0,0,28.125000,100.000000,154,870,0.011684,0.000293,0.005172,8192,4606.400000
156,1024,1024,286,738,0,0,27.929688,100.000000,139,885,0.011688,0.000119,0.005053,8192,4666.400000
157,1024,1024,283,741,0,0,27.636719,100.000000,147,877,0.011461,0.000128,0.004914,8192,4634.400000
158,1024,1024,290,734,0,0,28.320312,100.000000,154,870,0.012093,0.000142,0.004554,8192,4606.400000
159,1024,1024,282,742,0,0,27.539062,100.000000,148,876,0.013072,0.000144,0.005043,8192,4630.400000
160,1024,1024,278,746,0,0,27.148438,100.000000,136,888,0.011089,0.000138,0.004871,8192,4678.400000
161,1024,1024,293,731,0,0,28.613281,100.000000,158,866,0.011214,0.000286,0.005115,8192,4590.400000
162,1024,1024,293,731,0,0,28.613281,100.000000,175,849,0.011540,0.000138,0.005136,8192,4522.400000
163,1024,1024,287,737,0,0,28.027344,100.000000,141,883,0.011972,0.000175,0.004950,8192,4658.400000
164,1024,1024,285,739,0,0,27.832031,100.000000,164,860,0.011772,0.000330,0.005308,8192,4566.400000
165,1024,1024,288,736,0,0,28.125000,100.000000,158,866,0.012657,0.000291,0.006507,8192,4590.400000
166,1024,1024,293,731,0,0,28.613281,100.000000,143,881,0.012580,0.000149,0.006046,8192,4650.400000
167,1024,1024,290,734,0,0,28.320312,100.000000,150,874,0.012326,0.000137,0.005505,8192,4622.400000
168,1024,1024,289,735,0,0,28.222656,100.000000,153,871,0.012836,0.000436,0.006652,8192,4610.400000
169,1024,1024,286,738,0,0,27.929688,100.000000,152,872,0.012697,0.000141,0.004895,8192,4614.400000
170,1024,1024,289,735,0,0,28.222656,100.000000,162,862,0.011815,0.000119,0.006057,8192,4574.400000
171,1024,1024,293,731,0,0,28.613281,100.000000,138,886,0.011418,0.000464,0.004914,8192,4670.400000
172,1024,1024,291,733,0,0,28.417969,100.000000,157,867,0.012171,0.000125,0.004999,8192,4594.400000
173,1024,1024,282,742,0,0,27.539062,100.000000,158,866,0.010085,0.000166,0.004286,8192,4590.400000
174,1024,1024,290,734,0,0,28.320312,100.000000,130,894,0.012652,0.000132,0.005277,8192,4702.400000
175,1024,1024,283,741,0,0,27.636719,100.000000,139,885,0.011847,0.000123,0.004028,8192,4666.400000
176,1024,1024,290,734,0,0,28.320312,100.000000,162,862,0.011908,0.000120,0.004362,8192,4574.400000
